"","movie_id","director_id","director_name"
"164",38925,89373,"Martin Davidson"
"165",38925,121643,"Stephen Verona"
"166",30497,10051,"Tobe Hooper"
"167",14267,10367,"John Waters"
"168",78353,13284,"Stanley Donen"
"169",3175,240,"Stanley Kubrick"
"170",17538,13779,"Stuart Millar"
"171",20187,190,"Clint Eastwood"
"172",39282,18378,"Herbert Ross"
"173",983,6593,"John Huston"
"174",11963,2226,"Sydney Pollack"
"175",578,488,"Steven Spielberg"
"176",11484,13563,"Norman Jewison"
"177",8043,18592,"Tom Gries"
"178",4704,39012,"Peter Bogdanovich"
"179",11843,1927,"Blake Edwards"
"180",19740,9577,"George Roy Hill"
"181",31604,7767,"Sam Peckinpah"
"182",10711,13776,"John Frankenheimer"
"183",31121,4964,"Hal Ashby"
"184",4990,18392,"Robert Aldrich"
"185",510,3974,"Miloš Forman"
"186",11686,1243,"Woody Allen"
"187",29859,3460,"Gene Wilder"
"188",22094,1723,"Walter Hill"
"189",32620,13859,"Stuart Rosenberg"
"190",1835,19333,"Dick Richards"
"191",3121,9789,"Robert Altman"
"192",84259,34611,"Howard Zieff"
"193",968,39996,"Sidney Lumet"
"194",36685,13484,"Jim Sharman"
"195",31671,18592,"Tom Gries"
"196",18710,102627,"Steve Carver"
"197",35711,77300,"Michael Schultz"
"198",12223,31439,"Bryan Forbes"
"199",4917,8262,"L.Q. Jones"
"200",39154,114518,"Bill Rebane"
"201",13282,101377,"Paul Bartel"
"202",19174,109086,"D'Urville Martin"
"203",5725,4590,"Russ Meyer"
"204",29473,16897,"Sidney Poitier"
"205",47178,67834,"Floyd Mutrux"
"206",10730,6778,"John Guillermin"
"207",100922,14674,"George Cukor"
"208",42252,6448,"Arthur Penn"
"209",10649,66222,"James Fargo"
"210",23479,12964,"Michael Ritchie"
"211",10803,20412,"Michael Anderson"
"212",891,6349,"Alan J. Pakula"
"213",6883,51373,"Larry Peerce"
"214",11558,133259,"Arthur Hiller"
"215",10518,19304,"John Schlesinger"
"216",19610,13861,"Frank Pierson"
"217",12268,1927,"Blake Edwards"
"218",32037,16566,"George P. Cosmatos"
"219",5228,19450,"Bob Rafelson"
"220",54613,50567,"Melvin Frank"
"221",5854,2636,"Alfred Hitchcock"
"222",96696,64508,"Sidney J. Furie"
"223",10970,14639,"Mel Brooks"
"224",11422,30422,"Jack Smight"
"225",10774,39996,"Sidney Lumet"
"226",10747,190,"Clint Eastwood"
"227",26176,12804,"Peter Yates"
"228",794,7187,"Richard Donner"
"229",10640,35525,"Richard T. Heffron"
"230",103,1032,"Martin Scorsese"
"231",7340,1150,"Brian De Palma"
"232",4780,1150,"Brian De Palma"
"233",42239,40242,"Max Baer Jr."
"234",1366,16513,"John G. Avildsen"
"235",5002,40549,"Daniel Petrie"
"236",21241,101377,"Paul Bartel"
"237",21950,88096,"Michael Miller"
"238",370378,1542059,"Ivo Dvorák"
"239",1129566,1242372,"Humphrey Burton"
"240",1129563,1242372,"Humphrey Burton"
"241",1127534,1242372,"Humphrey Burton"
"242",1127529,1242372,"Humphrey Burton"
"243",1127509,1242372,"Humphrey Burton"
"244",1127266,1242372,"Humphrey Burton"
"245",1267683,2468401,"Elaine Shemilt"
"246",5902,4786,"Richard Attenborough"
"247",38985,15175,"William Friedkin"
"248",840,488,"Steven Spielberg"
"249",25763,30422,"Jack Smight"
"250",11586,19665,"John Boorman"
"251",12637,1032,"Martin Scorsese"
"252",11,1,"George Lucas"
"253",20416,12804,"Peter Yates"
"254",31037,15663,"Joseph Sargent"
"255",10670,15630,"James Goldstone"
"256",50374,13776,"John Frankenheimer"
"257",25388,19333,"Dick Richards"
"258",42222,4065,"Fred Zinnemann"
"259",11319,57314,"Wolfgang Reitherman"
"260",11319,69003,"John Lounsbery"
"261",11319,67607,"Art Stevens"
"262",42217,2226,"Sydney Pollack"
"263",7227,52094,"Jerry Jameson"
"264",11590,9577,"George Roy Hill"
"265",17689,190,"Clint Eastwood"
"266",11935,37710,"Peter Hyams"
"267",24109,16544,"Ted Kotcheff"
"268",11006,67767,"Hal Needham"
"269",12535,14639,"Mel Brooks"
"270",703,1243,"Woody Allen"
"271",36748,116100,"Richard Williams"
"272",11009,12840,"John Badham"
"273",11940,21520,"Sam Wanamaker"
"274",83061,128947,"Jeremy Kagan"
"275",142058,158955,"Joan Darling"
"276",16220,16384,"Ralph Bakshi"
"277",41662,9789,"Robert Altman"
"278",99846,101891,"Gus Trikonis"
"279",71996,67753,"Mark L. Lester"
"280",30315,97966,"John ""Bud"" Cardos"
"281",42218,101225,"Bert I. Gordon"
"282",11834,280,"Terry Gilliam"
"283",27591,95329,"Kevin Connor"
"284",12262,5140,"Wes Craven"
"285",19108,84102,"Don Hulette"
"286",985,5602,"David Lynch"
"287",1473557,7623,"Sam Raimi"
"288",1292676,1016110,"Richard Geiwitz"
"289",1924,7187,"Richard Donner"
"290",24961,39996,"Sidney Lumet"
"291",46878,7506,"Irwin Allen"
"292",579,16187,"Jeannot Szwarc"
"293",36759,77300,"Michael Schultz"
"294",12185,6449,"Warren Beatty"
"295",12185,7795,"Buck Henry"
"296",11778,12114,"Michael Cimino"
"297",6081,1927,"Blake Edwards"
"298",9584,7767,"Sam Peckinpah"
"299",16241,13265,"Franklin J. Schaffner"
"300",28932,13563,"Norman Jewison"
"301",34193,4786,"Richard Attenborough"
"302",29143,10930,"Irvin Kershner"
"303",10766,9108,"Don Taylor"
"304",36361,34611,"Howard Zieff"
"305",57578,18669,"J. Lee Thompson"
"306",621,8876,"Randal Kleiser"
"307",16214,67767,"Hal Needham"
"308",23916,16483,"Sylvester Stallone"
"309",116760,70308,"Ken Hughes"
"310",12611,1150,"Brian De Palma"
"311",15417,66222,"James Fargo"
"312",15659,4967,"Colin Higgins"
"313",20863,13861,"Frank Pierson"
"314",17339,9915,"Guy Hamilton"
"315",123,16384,"Ralph Bakshi"
"316",23397,140354,"Ulu Grosbard"
"317",2153,1723,"Walter Hill"
"318",42213,128947,"Jeremy Kagan"
"319",11850,648,"Philip Kaufman"
"320",26973,15389,"Louis Malle"
"321",15867,1243,"Woody Allen"
"322",35976,16475,"Burt Reynolds"
"323",31657,4964,"Hal Ashby"
"324",16642,30715,"Terrence Malick"
"325",8469,4610,"John Landis"
"326",38731,47773,"Paul Mazursky"
"327",42215,19800,"Richard Marquand"
"328",11327,9168,"Alan Parker"
"329",14839,1035,"Paul Schrader"
"330",24153,54590,"Steve Rash"
"331",37672,8482,"Robert Mulligan"
"332",42205,18635,"Ted Post"
"333",28155,19266,"Larry Cohen"
"334",24831,4600,"Joe Dante"
"335",923,14999,"George A. Romero"
"336",948,11770,"John Carpenter"
"337",226749,45964,"John Hanson"
"338",226749,102647,"Rob Nilsson"
"339",2182,22353,"John De Bello"
"340",27432,97755,"Charles Burnett"
"341",152,1744,"Robert Wise"
"342",11519,488,"Steven Spielberg"
"343",28,1776,"Francis Ford Coppola"
"344",40160,7501,"Ronald Neame"
"345",29723,40187,"David Lowell Rich"
"346",11145,2226,"Sydney Pollack"
"347",31915,13776,"John Frankenheimer"
"348",16858,66777,"Bob Fosse"
"349",3013,9855,"Terence Young"
"350",348,578,"Ridley Scott"
"351",10654,3974,"Miloš Forman"
"352",54663,6349,"Alan J. Pakula"
"353",1732,18907,"Richard Quine"
"354",16323,21958,"Mark Rydell"
"355",16972,18392,"Robert Aldrich"
"356",696,1243,"Woody Allen"
"357",19827,133259,"Arthur Hiller"
"358",12102,6729,"Robert Benton"
"359",11176,68457,"James Frawley"
"360",10734,14773,"Don Siegel"
"361",47561,19244,"Michael Winner"
"362",9051,1927,"Blake Edwards"
"363",1367,16483,"Sylvester Stallone"
"364",17443,13563,"Norman Jewison"
"365",988,14838,"James Bridges"
"366",65066,769,"Martin Brest"
"367",22328,15657,"Vincent McEveety"
"368",47906,98199,"Jerry Schatzberg"
"369",11449,13859,"Stuart Rosenberg"
"370",40842,18854,"Martin Ritt"
"371",6471,1895,"Carl Reiner"
"372",11474,1723,"Walter Hill"
"373",21887,84657,"Lewis John Carlino"
"374",3786,28236,"Daniel Haller"
"375",21376,564872,"Paul Aaron"
"376",31200,10781,"Michael Apted"
"377",17264,68212,"Carroll Ballard"
"378",33258,58075,"Bill L. Norton"
"379",85327,86293,"Robert M. Young"
"380",20283,12804,"Peter Yates"
"381",45964,62556,"Fred Walton"
"382",9638,58245,"Don Coscarelli"
"383",913357,1562012,"Michael Wiese"
"384",913357,1245544,"Hardy Jones"
"385",309803,1397106,"Payut Ngaokrachang"
"386",200671,11641,"Scott Spiegel"
"387",8536,10586,"Richard Lester"
"388",10935,12114,"Michael Cimino"
"389",3604,17281,"Mike Hodges"
"390",525,4610,"John Landis"
"391",7988,12964,"Michael Ritchie"
"392",11335,9789,"Robert Altman"
"393",15668,51521,"Robert Greenwald"
"394",47942,15630,"James Goldstone"
"395",694,240,"Stanley Kubrick"
"396",1891,10930,"Irvin Kershner"
"397",1578,1032,"Martin Scorsese"
"398",12705,67767,"Hal Needham"
"399",17169,66226,"Buddy Van Horn"
"400",10765,34611,"Howard Zieff"
"401",16769,10781,"Michael Apted"
"402",11542,32327,"Ken Russell"
"403",49375,14773,"Don Siegel"
"404",49375,9868,"Peter R. Hunt"
"405",49375,88458,"Robert Ellis Miller"
"406",31603,16513,"John G. Avildsen"
"407",15310,2087,"Richard Fleischer"
"408",8738,9108,"Don Taylor"
"409",27958,15175,"William Friedkin"
"410",19494,4967,"Colin Higgins"
"411",21629,16897,"Sidney Poitier"
"412",17496,14838,"James Bridges"
"413",14729,1723,"Walter Hill"
"414",11337,1243,"Woody Allen"
"415",1623,13859,"Stuart Rosenberg"
