"","movie_id","actor_id","actor_name","billing_order","character"
"89",13765,69764,"Laurence Naismith",4,"Mr. Fezziwig"
"90",13765,29307,"Michael Medwin",5,"Nephew Fred"
"91",40973,21462,"Raquel Welch",0,"Myra Breckinridge"
"92",40973,1227454,"Rex Reed",1,"Young Man"
"93",40973,103616,"Mae West",2,"Leticia Van Allen"
"94",40973,6593,"John Huston",3,"Buck Loner"
"95",40973,28768,"Farrah Fawcett-Majors",4,"Mary Ann Pringle"
"96",40973,122004,"Roger C. Carmel",5,"Dr. Randolph Spencer Montag"
"97",10112,57329,"Phil Harris",0,"O'Malley (voice)"
"98",10112,44714,"Eva Gabor",1,"Duchess (voice)"
"99",10112,34759,"Sterling Holloway",2,"Roquefort (voice)"
"100",10112,7077,"Scatman Crothers",3,"Scat Cat (voice)"
"101",10112,77548,"Paul Winchell",4,"Chinese Cat (voice)"
"102",10112,951459,"Lord Tim Hudson",5,"English Cat (voice)"
"103",38765,4165,"John Wayne",0,"John Chisum"
"104",38765,41214,"Forrest Tucker",1,"Lawrence Murphy"
"105",38765,29312,"Christopher George",2,"Dan Nodeen"
"106",38765,8258,"Ben Johnson",3,"James Pepper"
"107",38765,15968,"Glenn Corbett",4,"Pat Garrett"
"108",38765,15668,"Andrew Prine",5,"Alex McSween"
"109",11589,190,"Clint Eastwood",0,"Sergeant First Class Kelly"
"110",11589,10169,"Telly Savalas",1,"Master Sergeant ""Big Joe"""
"111",11589,7167,"Don Rickles",2,"Staff Sergeant ""Crapgame"""
"112",11589,26512,"Carroll O'Connor",3,"Major General Colt"
"113",11589,55636,"Donald Sutherland",4,"Sgt. Oddball (Tank Commander)"
"114",11589,54450,"Gavin MacLeod",5,"Moriarty (Tank Crewman)"
"115",23330,4765,"Jason Robards",0,"Cable Hogue"
"116",23330,7631,"Stella Stevens",1,"Hildy"
"117",23330,14253,"Slim Pickens",2,"Ben Fairchild"
"118",23330,2076,"David Warner",3,"Joshua"
"119",23330,8262,"L.Q. Jones",4,"Taggart"
"120",23330,8260,"Strother Martin",5,"Bowen"
"121",651,55636,"Donald Sutherland",0,"Hawkeye Pierce"
"122",651,827,"Elliott Gould",1,"Trapper John McIntyre"
"123",651,4139,"Tom Skerritt",2,"Duke Forrest"
"124",651,9805,"Sally Kellerman",3,"Maj. Margaret 'Hot Lips' O'Houlihan"
"125",651,3087,"Robert Duvall",4,"Maj. Frank Burns"
"126",651,9806,"Roger Bowen",5,"Lt. Col. Henry Blake"
"127",1685,18643,"James Franciscus",0,"Brent"
"128",1685,10539,"Kim Hunter",1,"Zira"
"129",1685,12023,"Maurice Evans",2,"Dr. Zaius"
"130",1685,10017,"Charlton Heston",3,"Taylor"
"131",1685,13260,"Linda Harrison",4,"Nova"
"132",1685,18645,"Paul Richards",5,"Mendez"
"133",11916,4090,"Shirley MacLaine",0,"Sara"
"134",11916,190,"Clint Eastwood",1,"Hogan"
"135",11916,989373,"Manolo Fábregas",2,"Colonel Beltran"
"136",11916,70939,"Alberto Morin",3,"General LeClaire"
"137",11916,102306,"Armando Silvestre",4,"1st American"
"138",11916,1098535,"John Kelly",5,"2nd American"
"139",44721,4135,"Robert Redford",0,"Big Halsy"
"140",44721,6451,"Michael J. Pollard",1,"Little Fauss"
"141",44721,27964,"Lauren Hutton",2,"Rita Nebraska"
"142",44721,30297,"Noah Beery Jr.",3,"Seally Fauss"
"143",44721,12430,"Lucille Benson",4,"'Mom' Fauss"
"144",44721,1240847,"Ray Ballard",5,"The Photographer"
"145",9062,46597,"Ali MacGraw",0,"Jennifer Cavilleri"
"146",9062,31070,"Ryan O'Neal",1,"Oliver Barrett IV"
"147",9062,3142,"John Marley",2,"Phil Cavilleri"
"148",9062,7124,"Ray Milland",3,"Oliver Barrett III"
"149",9062,162331,"Russell Nype",4,"Dean Thompson"
"150",9062,2176,"Tommy Lee Jones",5,"Hank - Oliver's Roommate"
"151",5722,45110,"Dolly Read",0,"Kelly McNamara"
"152",5722,45111,"Cynthia Myers",1,"Casey Anderson"
"153",5722,45112,"Marcia McBroom",2,"Petronella Danforth"
"154",5722,45113,"John Lazar",3,"Ronnie Z-Man Barzell"
"155",5722,45114,"Michael Blodgett",4,"Lance Rocke"
"156",5722,1926948,"David Gurian",5,"Harris Allsworth"
"157",14801,8544,"Eric Braeden",0,"Dr Charles Forbin"
"158",14801,40168,"Susan Clark",1,"Dr. Cleo Markham"
"159",14801,13950,"Gordon Pinsent",2,"The President"
"160",14801,15992,"William Schallert",3,"CIA Director Grauber"
"161",14801,14065,"Georg Stanford Brown",4,"Dr. John F. Fisher"
"162",14801,151846,"Willard Sage",5,"Dr. Blake"
"163",26617,514,"Jack Nicholson",0,"Robert Eroica Dupea"
"164",26617,8963,"Karen Black",1,"Rayette Dipesto"
"165",26617,95788,"Susan Anspach",2,"Catherine Van Oost"
"166",26617,2207,"Lois Smith",3,"Partita Dupea"
"167",26617,8853,"Ralph Waite",4,"Carl Fidelio Dupea"
"168",26617,35090,"Billy Green Bush",5,"Elton"
"169",24918,41236,"Ron Moody",0,"Ippolit Vorobyaninov"
"170",24918,8924,"Frank Langella",1,"Ostap Bender"
"171",24918,6844,"Dom DeLuise",2,"Father Fyodor"
"172",24918,2172,"Andréas Voutsinas",3,"Nikolai Sestrin"
"173",24918,94370,"Diana Coupland",4,"Diana Coupland"
"174",24918,14639,"Mel Brooks",5,"Tikon"
"175",71943,105061,"Jonathan Frid",0,"Barnabas Collins"
"176",71943,236465,"Grayson Hall",1,"Dr. Julia Hoffman"
"177",71943,101336,"Kathryn Leigh Scott",2,"Maggie Evans"
"178",71943,1217687,"Nancy Barrett",3,"Carolyn Stoddard"
"179",71943,30048,"John Karlen",4,"Willie Loomis"
"180",71943,129048,"Roger Davis",5,"Jeff Clark"
"181",9459,86385,"Richie Havens",0,"Self"
"182",9459,1490,"Joan Baez",1,"Self"
"183",9459,47096,"Roger Daltrey",2,"Self - The Who"
"184",9459,89656,"John Entwistle",3,"Self - The Who"
"185",9459,96410,"Keith Moon",4,"Self - The Who"
"186",9459,47098,"Pete Townshend",5,"Self - The Who"
"187",42533,1225470,"Tom Baker",0,"Blair"
"188",42533,98102,"William Smith",1,"Tim"
"189",42533,1059611,"Carl Steppling",2,"Sheriff"
"190",42533,191814,"Frank Leo",3,"Martin"
"191",42533,102843,"Alan DeWitt",4,"Undertaker"
"192",42533,33058,"Gary Littlejohn",5,"Piston"
"193",46691,1039,"Peter Boyle",0,"Joe Curran"
