"","movie_id","top_genre"
"268",1520165,NA
"269",1513446,NA
"270",1502471,"Documentary"
"271",1490749,NA
"272",1481948,NA
"273",1481133,"Horror"
"274",1478625,NA
"275",1477498,NA
"276",1473409,"Documentary"
"277",1472140,"Animation"
"278",1469991,NA
"279",1468600,"Music"
"280",1464322,NA
"281",1457377,"Comedy"
"282",1454168,"Documentary"
"283",1452806,NA
"284",1446711,NA
"285",1444729,NA
"286",1442953,NA
"287",1442949,"Animation"
"288",1441435,NA
"289",1439490,"Documentary"
"290",1438158,NA
"291",1435863,NA
"292",1434795,"Music"
"293",1434625,NA
"294",1434490,NA
"295",1434037,NA
"296",1434034,NA
"297",1433928,NA
"298",1433888,NA
"299",1433602,NA
"300",1431299,"Documentary"
"301",1429696,"Documentary"
"302",1426025,"Documentary"
"303",1420131,"Crime"
"304",1418505,"Documentary"
"305",1417152,"Science Fiction"
"306",1415165,"Documentary"
"307",1413276,NA
"308",1412541,"Animation"
"309",1404143,"Action"
"310",1398085,"Documentary"
"311",1388720,NA
"312",1387777,"Animation"
"313",1384704,"Western"
"314",1384373,NA
"315",1379812,NA
"316",1372876,NA
"317",1371916,"Documentary"
"318",1370936,"Animation"
"319",1368958,NA
"320",1363675,NA
"321",1360660,NA
"322",1360433,"TV Movie"
"323",1354572,NA
"324",1353961,"Comedy"
"325",1352479,NA
"326",1341696,NA
"327",1336195,"Music"
"328",1324135,"Documentary"
"329",1324102,"Animation"
"330",1324010,NA
"331",1322034,"Animation"
"332",1321929,"Animation"
"333",1319489,NA
"334",1318698,"Documentary"
"335",1314780,NA
"336",1312193,"Animation"
"337",1312185,"Animation"
"338",1311218,NA
"339",1309624,"Documentary"
"340",1304590,"Animation"
"341",1304296,NA
"342",1300347,"Documentary"
"343",1295133,"Documentary"
"344",1295068,"Drama"
"345",1285044,NA
"346",1284580,NA
"347",1281950,"Comedy"
"348",1280464,"Crime"
"349",1279523,"Drama"
"350",1277886,NA
"351",1277869,NA
"352",1277859,NA
"353",1277853,NA
"354",1277824,NA
"355",1277764,NA
"356",1277070,"Documentary"
"357",1271649,"Drama"
"358",1271641,NA
"359",1271637,NA
"360",1270624,"Drama"
"361",1268986,NA
"362",1267651,"Documentary"
"363",1267538,NA
"364",1265497,NA
"365",1264192,"Documentary"
"366",1260701,"Horror"
"367",1254318,"Documentary"
"368",1253780,NA
"369",1253121,"Crime"
"370",1253112,NA
"371",1249107,"Documentary"
"372",1247138,"Animation"
"373",1246923,"Documentary"
"374",1246896,NA
"375",1246255,"Animation"
"376",1244687,NA
"377",1244684,NA
"378",1237453,NA
"379",1236240,"Documentary"
"380",1233105,NA
"381",1228595,"Music"
"382",1228402,"Documentary"
"383",1225098,"Documentary"
"384",1220342,"Documentary"
"385",1219815,"Documentary"
"386",1218795,"Drama"
"387",1218310,"Documentary"
"388",1217340,"Documentary"
"389",1217335,"Documentary"
"390",1214315,"Documentary"
"391",1208085,NA
"392",1199530,"Documentary"
"393",1197345,"Documentary"
"394",1193573,"Animation"
"395",1188697,"Documentary"
"396",1182744,"Comedy"
"397",1181846,"Documentary"
"398",1177795,NA
"399",1177494,NA
"400",1175458,"Comedy"
"401",238,"Drama"
"402",12593,"Animation"
"403",551,"Adventure"
"404",6949,"Comedy"
"405",10669,"Drama"
"406",11943,"Adventure"
"407",82465,"Drama"
"408",10784,"Music"
"409",5916,"Action"
"410",21968,"Crime"
"411",1842,"Adventure"
"412",23148,"Drama"
"413",11624,"Comedy"
"414",45793,"Adventure"
"415",493,"Action"
"416",1688,"Action"
"417",15573,"Western"
"418",87514,"Action"
"419",14881,"Western"
"420",692,"Comedy"
